acc x,acc y,acc z,gyro x,gyro y,gyro z,temp,humidity,timestamp
0.040,-0.054,0.992,1.160,0.061,0.427,30,18,24061
0.039,-0.054,0.993,1.343,0.122,0.549,30,18,24076
0.039,-0.055,0.994,1.343,0.122,0.671,30,18,24091
0.041,-0.054,0.991,1.160,0.305,0.549,30,18,24106
0.040,-0.054,0.993,1.404,0.183,0.671,30,18,24121
0.040,-0.054,0.992,1.221,0.244,0.610,30,18,24136
0.041,-0.053,0.992,1.282,0.244,0.549,30,18,24151
0.042,-0.053,0.993,1.343,0.244,0.549,30,18,24166
0.041,-0.054,0.992,1.404,0.061,0.610,30,18,24181
0.041,-0.054,0.994,1.160,0.244,0.488,30,18,24196
0.041,-0.055,0.994,1.038,0.366,0.366,30,18,24211
0.041,-0.053,0.992,1.282,0.305,0.610,30,18,24226
0.040,-0.054,0.993,1.221,0.305,0.549,30,18,24241
0.039,-0.055,0.993,1.282,0.122,0.488,30,18,24256
0.039,-0.054,0.993,1.282,0.061,0.732,30,18,24286
0.040,-0.054,0.993,1.221,0.183,0.732,30,18,24301
0.039,-0.053,0.993,1.160,0.061,0.488,30,18,24316
0.041,-0.055,0.991,1.343,0.244,0.732,30,18,24346
0.041,-0.054,0.993,1.343,0.305,0.671,30,18,24361
0.040,-0.054,0.993,1.343,0.244,0.427,30,18,24376
0.040,-0.054,0.992,1.343,0.244,0.610,30,18,24391
0.040,-0.054,0.994,1.404,0.305,0.671,30,18,24406
0.039,-0.055,0.993,0.610,0.061,0.122,30,18,24421
0.040,-0.055,0.995,0.366,0.000,-0.488,30,18,24436
0.041,-0.054,0.995,0.122,0.061,-0.671,30,18,24451
0.041,-0.054,0.993,0.244,0.122,-0.488,30,18,24466
0.042,-0.053,0.992,1.221,0.244,0.427,30,18,24526
0.041,-0.053,0.993,1.343,0.000,0.732,30,18,24541
0.041,-0.054,0.994,1.404,0.244,0.610,30,18,24556
0.041,-0.054,0.994,1.343,0.305,0.610,30,18,24571
0.040,-0.055,0.995,1.282,0.122,0.427,30,18,24586
0.040,-0.055,0.995,1.343,0.244,0.610,30,18,24601
0.040,-0.054,0.995,1.282,0.183,0.549,30,18,24616
0.039,-0.054,0.992,1.038,0.305,0.488,30,18,24631
0.041,-0.056,0.993,1.221,0.305,0.549,30,18,24646
0.040,-0.053,0.994,1.282,0.183,0.610,30,18,24661
0.040,-0.052,0.992,1.160,0.183,0.488,30,18,24676
0.040,-0.052,0.993,1.221,0.122,0.549,30,18,24691
0.039,-0.052,0.991,1.465,0.244,0.488,30,18,24706
0.038,-0.053,0.993,1.160,0.183,0.366,30,18,24721
0.039,-0.054,0.994,1.282,0.305,0.610,30,18,24736
0.039,-0.055,0.993,1.221,0.244,0.488,30,18,24751
0.041,-0.055,0.993,1.343,0.183,0.610,30,18,24766
0.041,-0.057,0.992,1.160,0.244,0.488,30,18,24781
0.041,-0.055,0.992,1.282,0.122,0.671,30,18,24796
0.042,-0.053,0.993,1.221,0.366,0.610,30,18,24811
0.042,-0.052,0.992,1.343,0.183,0.366,30,18,24826
0.040,-0.053,0.993,1.221,0.183,0.366,30,18,24841
0.040,-0.054,0.993,1.343,0.305,0.671,30,18,24856
0.038,-0.054,0.993,1.282,0.244,0.610,30,18,24886
0.038,-0.056,0.997,1.282,0.061,0.610,30,18,24901
0.039,-0.055,0.998,1.404,0.183,0.793,30,18,24916
0.041,-0.055,0.984,1.038,0.244,0.305,30,18,24931
0.041,-0.054,1.000,1.160,0.183,0.610,30,18,24946
0.042,-0.052,0.995,1.648,0.366,0.549,30,18,24961
0.043,-0.057,0.990,1.038,0.122,0.427,30,18,24976
0.044,-0.052,0.996,1.343,0.305,0.488,30,18,24991
0.042,-0.054,0.992,1.404,0.244,0.610,30,18,25006
0.040,-0.053,0.991,1.160,0.122,0.732,30,18,25021
0.038,-0.053,0.990,1.343,0.244,0.549,30,18,25036
0.037,-0.054,0.994,1.343,0.244,0.549,30,18,25051
