acc x,acc y,acc z,gyro x,gyro y,gyro z,temp,humidity,timestamp
0.578,-1.594,0.195,-32.837,-39.856,-248.352,23,57,5393
0.610,-1.622,0.328,-7.141,-52.795,-271.545,23,57,5407
0.669,-1.730,0.304,-10.498,-41.138,-276.184,23,57,5422
0.564,-1.797,0.232,-7.202,9.399,-282.288,23,57,5437
0.479,-1.729,0.152,-0.854,40.405,-284.973,23,57,5452
0.450,-1.727,0.111,-3.296,50.171,-284.607,23,57,5467
0.216,-1.684,0.007,-10.315,60.181,-277.222,23,57,5482
0.238,-1.654,-0.203,-9.338,46.631,-253.052,23,57,5497
0.326,-1.611,-0.345,-6.653,26.917,-234.131,23,57,5513
0.476,-1.428,-0.219,9.155,-47.119,-183.899,23,57,5527
0.855,-0.962,0.037,35.461,-117.676,-119.507,23,57,5542
1.010,-0.717,0.139,43.762,-137.573,-84.717,23,57,5557
1.021,-0.737,0.195,30.579,-123.108,-20.203,23,57,5572
0.938,-0.854,0.360,5.981,-55.359,26.123,23,57,5587
0.812,-0.901,0.488,1.099,-20.569,43.396,23,57,5602
0.851,-1.180,0.357,1.770,61.462,64.636,23,57,5617
-1.502,-1.042,0.943,22.461,80.444,92.712,23,57,5632
-0.918,-1.375,0.273,-1.282,98.389,58.105,23,57,5647
-0.000,-1.282,0.640,19.775,104.370,54.138,23,57,5662
-0.099,-1.662,0.721,2.441,25.940,110.107,23,57,5677
0.399,-1.384,0.329,-5.432,65.918,130.615,23,57,5692
0.208,-1.147,0.087,6.165,84.717,138.489,23,57,5707
0.660,-0.971,-0.053,14.282,146.729,112.610,23,57,5722
0.427,-0.900,0.143,35.522,165.588,87.769,23,57,5737
0.253,-0.997,0.002,31.128,108.521,70.435,23,57,5752
0.007,-0.950,0.059,19.653,80.261,65.125,23,57,5768
0.174,-1.074,0.443,14.893,-9.460,75.012,23,57,5782
0.308,-1.104,0.357,10.193,-17.029,66.467,23,57,5797
0.338,-1.033,0.297,16.968,-0.061,55.847,23,57,5812
0.194,-1.010,0.105,20.935,37.415,38.635,23,57,5827
0.062,-0.988,0.084,24.170,45.837,25.818,23,57,5842
0.039,-0.993,0.111,23.987,39.612,21.973,23,57,5857
0.038,-1.011,0.154,21.362,20.203,20.569,23,57,5872
0.091,-1.027,0.109,20.142,0.671,20.691,23,57,5887
0.090,-1.045,0.068,17.883,-4.456,18.616,23,57,5902
0.154,-1.032,0.116,16.541,-5.493,17.517,23,57,5917
0.146,-1.008,0.188,15.503,-4.089,12.573,23,57,5932
0.101,-1.008,0.196,17.639,-1.038,5.920,23,57,5947
0.091,-1.008,0.199,19.226,-2.441,4.089,23,57,5962
0.135,-1.015,0.130,20.874,-6.531,1.953,23,57,5977
0.057,-1.001,0.039,22.888,-2.319,-2.319,23,57,5992
0.016,-1.001,-0.010,22.217,-2.014,-4.517,23,57,6007
-0.008,-1.006,-0.037,17.456,-8.240,-4.089,23,57,6022
0.024,-1.016,0.003,11.047,-23.376,-1.831,23,57,6037
0.039,-1.020,0.059,7.324,-30.273,-0.854,23,57,6052
0.020,-1.021,0.065,6.226,-28.870,-0.793,23,57,6067
0.009,-0.998,0.041,4.211,-21.606,-0.122,23,57,6082
-0.019,-0.998,0.046,2.991,-12.451,1.404,23,57,6097
-0.017,-1.004,0.048,2.136,-8.240,3.174,23,57,6112
-0.036,-1.006,0.094,-0.427,0.793,12.085,23,57,6127
-0.091,-1.028,0.056,-0.061,0.549,15.198,23,57,6142
-0.108,-1.027,0.078,0.977,-7.324,24.780,23,57,6157
-0.034,-1.033,0.097,1.160,-5.432,31.494,23,57,6172
-0.034,-1.037,0.068,1.587,-3.418,37.781,23,57,6187
-0.043,-1.045,0.052,0.244,-0.610,40.833,23,57,6202
-0.001,-1.023,0.057,-0.183,4.456,45.532,23,57,6217
0.016,-1.022,0.057,-0.305,9.827,50.415,23,57,6233
0.035,-1.018,0.060,-0.854,14.038,52.612,23,57,6247
0.056,-1.021,0.034,-1.587,19.287,57.129,23,57,6262
0.053,-1.016,0.019,-2.075,18.555,64.453,23,57,6277
0.066,-1.008,0.035,-2.136,18.188,67.871,23,57,6292
0.094,-1.019,0.042,-1.404,22.095,73.608,23,57,6307
0.107,-1.064,0.053,-1.465,22.034,78.796,23,57,6322
0.158,-1.093,0.105,-1.709,18.860,81.238,23,57,6337
0.173,-1.116,0.138,-3.296,13.245,84.412,23,57,6352
0.204,-1.123,0.154,-3.357,11.169,87.219,23,57,6367
0.255,-1.190,0.226,-3.784,12.085,89.050,23,57,6382
0.233,-1.269,0.201,-7.751,19.470,93.018,23,57,6397
0.064,-1.330,0.161,-3.296,15.198,101.440,23,57,6412
0.136,-1.312,0.336,-2.197,15.442,107.361,23,57,6427
0.090,-1.413,0.344,-2.197,28.748,119.568,23,57,6442
-0.132,-1.657,0.284,6.042,28.748,134.399,23,57,6457
-0.182,-1.817,0.439,9.399,23.315,142.761,23,57,6472
-0.276,-1.994,0.476,5.432,3.723,159.546,23,57,6488
-0.589,-2.082,0.311,19.775,-31.982,166.138,23,57,6502
-0.186,-1.702,0.196,33.875,-75.500,165.466,23,57,6517
0.250,-1.357,0.052,27.405,-114.197,163.574,23,57,6533
0.734,-1.146,-0.015,18.616,-118.408,161.804,23,57,6547
0.730,-1.034,-0.021,4.822,-96.680,143.616,23,57,6562
0.515,-0.797,-0.015,2.686,-85.083,115.601,23,57,6578
0.467,-0.464,-0.041,7.324,-59.692,74.951,23,57,6592
0.149,-0.524,0.057,24.780,-34.668,37.354,23,57,6607
-0.198,-0.568,-0.026,62.317,-37.354,-14.160,23,57,6622
-0.076,-0.392,0.091,50.415,-43.335,-33.508,23,57,6637
0.073,-0.362,0.137,38.391,-36.499,-45.288,23,57,6652
0.114,-0.368,0.148,30.518,-21.667,-73.792,23,57,6667
0.091,-0.367,0.177,35.156,-11.658,-105.469,23,57,6682
0.067,-0.381,0.191,35.522,-7.141,-135.376,23,57,6697
0.057,-0.391,0.182,31.921,1.343,-150.208,23,57,6712
0.074,-0.428,0.139,30.701,2.991,-177.734,23,57,6727
0.065,-0.465,0.118,26.733,-2.380,-202.698,23,57,6742
0.045,-0.551,0.113,22.949,-7.751,-213.501,23,57,6757
0.055,-0.642,0.109,11.841,-23.865,-227.844,23,57,6772
0.081,-0.742,0.142,-1.526,-45.532,-238.953,23,57,6787
-0.015,-0.916,0.244,-4.517,-56.641,-246.460,23,57,6802
-0.091,-1.071,0.163,13.367,-81.116,-261.414,23,57,6817
0.047,-1.325,0.223,4.272,-91.980,-259.338,23,57,6832
0.684,-1.771,0.240,24.109,-110.596,-273.010,23,57,6847
0.755,-1.820,0.331,28.442,-98.267,-281.677,23,57,6862
0.698,-1.995,0.337,31.250,-39.429,-284.607,23,57,6877
0.694,-1.875,0.261,30.579,-6.775,-277.710,23,57,6892
0.445,-1.725,0.052,29.602,-3.723,-267.334,23,57,6907
0.488,-1.685,-0.036,23.804,-32.166,-220.520,23,57,6922
0.676,-1.546,-0.129,19.653,-85.999,-165.894,23,57,6937
0.904,-1.343,0.022,23.315,-117.432,-108.337,23,57,6952
1.011,-1.258,0.112,41.016,-113.220,-75.928,23,57,6967
1.108,-0.921,0.200,39.734,-96.252,-5.798,23,57,6982
1.126,-0.787,0.390,19.592,-64.087,57.678,23,57,6998
1.150,-0.849,0.566,10.132,-38.147,82.886,23,57,7012
1.106,-0.893,0.637,-7.935,28.870,118.042,23,57,7027
0.761,-0.977,0.717,-20.813,112.183,126.648,23,57,7043
-3.146,-1.625,-0.592,0.549,178.772,74.219,23,57,7057
-2.112,-1.437,-0.976,88.074,106.934,11.108,23,57,7072
0.443,0.014,1.784,-61.890,36.621,66.284,23,57,7087
-0.922,-2.080,1.153,-16.174,127.197,61.890,23,57,7102
-0.272,-1.957,1.118,26.428,53.711,79.956,23,57,7117
0.079,-1.421,0.893,12.207,124.084,85.938,23,57,7132
0.630,-1.355,-0.224,44.006,235.596,71.106,23,57,7147
0.255,-1.056,-0.484,39.124,234.985,70.679,23,57,7162
-0.202,-0.983,-0.357,13.184,118.774,75.378,23,57,7177
0.091,-0.923,-0.275,2.991,21.729,83.862,23,57,7192
-0.036,-1.038,0.036,6.653,-89.844,94.910,23,57,7207
0.089,-1.001,0.244,-18.982,-92.896,93.933,23,57,7222
0.296,-1.089,0.374,-14.221,-44.128,75.317,23,57,7237
0.331,-1.104,0.289,8.301,16.602,48.035,23,57,7252
0.272,-1.010,0.144,17.029,47.363,35.034,23,57,7267
0.178,-1.002,0.099,20.386,83.801,18.799,23,57,7282
0.014,-1.014,-0.066,11.719,61.707,16.724,23,57,7297
-0.064,-1.018,-0.163,5.920,30.640,22.217,23,57,7312
-0.047,-1.022,-0.100,-2.441,-27.100,30.457,23,57,7327
0.039,-1.036,0.076,-5.676,-41.687,31.677,23,57,7342
0.144,-1.011,0.140,-3.052,-22.034,24.414,23,57,7357
0.198,-1.000,0.209,-0.366,-8.118,19.165,23,57,7372
0.116,-1.015,0.207,8.667,14.587,11.230,23,57,7388
0.021,-1.021,0.077,11.963,16.052,10.986,23,57,7402
0.015,-0.998,-0.044,10.864,8.240,12.756,23,57,7417
0.005,-0.997,-0.045,5.432,-10.986,17.822,23,57,7432
0.010,-1.011,0.024,2.563,-24.048,22.095,23,57,7447
0.073,-1.023,0.081,2.319,-14.526,21.545,23,57,7462
0.116,-1.013,0.098,3.906,-6.714,20.447,23,57,7477
0.061,-1.021,0.114,6.042,5.615,18.555,23,57,7492
0.084,-1.019,0.056,7.263,7.324,18.311,23,57,7507
0.051,-1.023,0.040,6.592,3.418,19.775,23,57,7522
0.050,-1.008,0.060,7.019,0.610,20.996,23,57,7537
0.050,-1.012,0.050,7.935,2.258,22.583,23,57,7552
0.033,-1.021,-0.040,7.812,4.578,23.499,23,57,7567
-0.006,-1.015,-0.094,5.249,6.104,28.137,23,57,7582
